customer_id,company_name,industry,customer_segment,billing_city,account_opened_date,customer_status
C00001,Pioneer Group 001,Manufacturing,Mid-Market,Boston,2023-03-19,Active
C00002,Westbridge Group 002,Retail,Enterprise,Seattle,2018-02-09,At Risk
C00003,Summit Industries 003,Professional Services,Mid-Market,Portland,2024-06-23,Active
C00004,BluePeak Systems 004,Manufacturing,Mid-Market,Austin,2023-06-25,At Risk
C00005,Cloudline Group 005,Retail,SMB,San Diego,2024-09-10,Active
C00006,Pioneer Partners 006,Professional Services,Mid-Market,Seattle,2020-12-14,Active
C00007,Cloudline Industries 007,Professional Services,SMB,Portland,2024-06-30,Active
C00008,Pioneer Partners 008,Retail,Mid-Market,Denver,2019-02-07,Active
C00009,BluePeak Systems 009,Technology,SMB,Chicago,2021-11-06,Active
C00010,Redwood Holdings 010,Retail,Mid-Market,Boston,2024-06-03,Active
C00011,Lumen Partners 011,Financial Services,Enterprise,New York,2019-02-12,Active
C00012,Northstar Partners 012,Financial Services,SMB,Portland,2018-05-26,Active
C00013,Summit Systems 013,Financial Services,Enterprise,San Diego,2021-12-18,Active
C00014,BluePeak Systems 014,Financial Services,SMB,Dallas,2024-07-12,Active
C00015,HarborPoint Partners 015,Professional Services,Mid-Market,Phoenix,2018-05-19,Active
C00016,HarborPoint Systems 016,Financial Services,Enterprise,Chicago,2020-10-17,Active
C00017,Northstar Industries 017,Technology,SMB,Seattle,2022-12-31,At Risk
C00018,HarborPoint Partners 018,Financial Services,SMB,Phoenix,2022-05-11,At Risk
C00019,Northstar Partners 019,Professional Services,Mid-Market,Chicago,2019-03-21,Active
C00020,Summit Industries 020,Retail,Mid-Market,New York,2023-05-19,Churned
C00021,Lumen Group 021,Retail,Enterprise,Dallas,2021-11-25,Active
C00022,Cloudline Partners 022,Manufacturing,SMB,Boston,2021-06-18,At Risk
C00023,Evergreen Industries 023,Manufacturing,Mid-Market,Chicago,2018-03-05,Active
C00024,CedarWorks Group 024,Financial Services,Mid-Market,Boston,2022-04-15,Active
C00025,BluePeak Systems 025,Manufacturing,Enterprise,Boston,2023-06-13,Active
C00026,Pioneer Systems 026,Manufacturing,Mid-Market,Dallas,2024-05-05,Active
C00027,CedarWorks Holdings 027,Financial Services,Mid-Market,Phoenix,2021-11-20,Active
C00028,Ironwood Group 028,Manufacturing,SMB,Phoenix,2020-11-19,Active
C00029,Lumen Systems 029,Manufacturing,Mid-Market,Portland,2019-02-10,Active
C00030,HarborPoint Group 030,Financial Services,Enterprise,Denver,2024-05-21,Active
C00031,CedarWorks Partners 031,Technology,Mid-Market,Chicago,2024-05-27,Churned
C00032,Summit Partners 032,Financial Services,Mid-Market,Boston,2018-09-08,Active
C00033,Evergreen Systems 033,Technology,Mid-Market,Phoenix,2018-03-09,Active
C00034,Redwood Holdings 034,Technology,Mid-Market,Chicago,2020-10-05,Active
C00035,Summit Partners 035,Healthcare,SMB,Boston,2019-11-06,Active
C00036,Westbridge Systems 036,Manufacturing,SMB,San Diego,2019-11-07,Active
C00037,Redwood Industries 037,Financial Services,Mid-Market,San Diego,2018-03-31,Active
C00038,Redwood Holdings 038,Technology,SMB,Seattle,2024-10-17,At Risk
C00039,Westbridge Holdings 039,Retail,SMB,Phoenix,2021-09-27,Active
C00040,Lumen Industries 040,Technology,Enterprise,New York,2023-11-19,Active
C00041,Westbridge Partners 041,Healthcare,Enterprise,Boston,2021-03-10,Active
C00042,Evergreen Systems 042,Financial Services,Mid-Market,Boston,2018-10-05,At Risk
C00043,Ironwood Group 043,Retail,Enterprise,New York,2022-11-19,Active
C00044,Pioneer Holdings 044,Professional Services,SMB,Portland,2023-02-11,Active
C00045,CedarWorks Group 045,Financial Services,Mid-Market,Portland,2019-05-14,Active
C00046,BluePeak Partners 046,Retail,SMB,Denver,2019-10-15,Active
C00047,HarborPoint Systems 047,Professional Services,Mid-Market,Dallas,2020-10-07,Active
C00048,Ironwood Group 048,Healthcare,Mid-Market,Seattle,2022-01-02,At Risk
C00049,Ironwood Group 049,Professional Services,Mid-Market,Chicago,2019-09-06,Active
C00050,Lumen Systems 050,Professional Services,Mid-Market,Phoenix,2020-03-16,Active
C00051,Pioneer Partners 051,Financial Services,SMB,San Diego,2023-09-17,Active
C00052,Summit Industries 052,Healthcare,SMB,New York,2023-10-15,Active
C00053,Cloudline Holdings 053,Retail,Mid-Market,Portland,2023-12-13,At Risk
C00054,CedarWorks Group 054,Retail,SMB,Portland,2020-08-30,Active
C00055,Northstar Systems 055,Professional Services,Mid-Market,Portland,2023-07-29,Active
C00056,Cloudline Industries 056,Financial Services,SMB,Phoenix,2019-04-08,Active
C00057,HarborPoint Holdings 057,Manufacturing,Mid-Market,Chicago,2019-10-27,At Risk
C00058,Redwood Industries 058,Healthcare,Mid-Market,Austin,2023-05-05,Active
C00059,Redwood Systems 059,Technology,SMB,Seattle,2023-08-01,Active
C00060,Pioneer Partners 060,Financial Services,SMB,Denver,2023-07-03,Active
C00061,Evergreen Industries 061,Technology,SMB,San Diego,2021-04-14,Active
C00062,Cloudline Partners 062,Retail,SMB,Phoenix,2021-05-21,Active
C00063,Summit Industries 063,Professional Services,Mid-Market,Denver,2018-08-14,Active
C00064,Redwood Holdings 064,Professional Services,Mid-Market,Dallas,2021-10-24,Active
C00065,Redwood Partners 065,Financial Services,Enterprise,Dallas,2022-01-19,Active
C00066,Cloudline Systems 066,Financial Services,Mid-Market,Portland,2018-08-06,Active
C00067,CedarWorks Holdings 067,Professional Services,SMB,Boston,2018-04-02,Active
C00068,Ironwood Partners 068,Financial Services,Mid-Market,Denver,2022-07-19,At Risk
C00069,Ironwood Systems 069,Technology,Mid-Market,Boston,2024-04-06,At Risk
C00070,Ironwood Industries 070,Professional Services,Mid-Market,Portland,2022-06-19,Active
C00071,Northstar Group 071,Technology,SMB,Seattle,2020-02-04,Active
C00072,CedarWorks Systems 072,Retail,SMB,New York,2021-03-21,Active
C00073,Redwood Industries 073,Professional Services,Mid-Market,Seattle,2024-07-04,Active
C00074,Ironwood Holdings 074,Retail,Mid-Market,Denver,2023-05-12,Active
C00075,Summit Group 075,Professional Services,Mid-Market,Chicago,2022-09-24,Churned
C00076,Ironwood Holdings 076,Retail,Mid-Market,Austin,2018-02-02,At Risk
C00077,Westbridge Holdings 077,Healthcare,SMB,San Diego,2021-04-28,Active
C00078,Cloudline Partners 078,Financial Services,SMB,San Diego,2019-07-19,Active
C00079,Westbridge Group 079,Manufacturing,Mid-Market,Chicago,2020-09-22,Active
C00080,Westbridge Partners 080,Retail,Mid-Market,Portland,2022-11-16,Active
C00081,Redwood Systems 081,Technology,Enterprise,San Diego,2022-10-31,Active
C00082,Westbridge Holdings 082,Technology,Mid-Market,Seattle,2019-12-20,Churned
C00083,Pioneer Systems 083,Financial Services,SMB,Chicago,2022-02-04,Active
C00084,Summit Group 084,Technology,Mid-Market,Chicago,2024-08-24,Active
C00085,Ironwood Partners 085,Financial Services,SMB,Austin,2024-01-07,Active
C00086,Northstar Partners 086,Manufacturing,SMB,Dallas,2022-08-21,Active
C00087,Evergreen Holdings 087,Professional Services,SMB,Seattle,2024-06-25,Active
C00088,Summit Holdings 088,Financial Services,Mid-Market,Seattle,2024-01-28,Active
C00089,Redwood Holdings 089,Financial Services,Mid-Market,Dallas,2020-04-15,Churned
C00090,Redwood Group 090,Professional Services,Enterprise,Seattle,2022-03-31,Active
C00091,Ironwood Industries 091,Retail,SMB,Chicago,2018-10-24,Active
C00092,CedarWorks Industries 092,Manufacturing,Enterprise,New York,2020-04-12,Active
C00093,Summit Industries 093,Financial Services,Mid-Market,Seattle,2021-12-18,Active
C00094,Redwood Industries 094,Financial Services,Mid-Market,Boston,2020-11-03,Active
C00095,Pioneer Systems 095,Healthcare,Mid-Market,New York,2018-03-04,At Risk
C00096,BluePeak Systems 096,Manufacturing,Mid-Market,Chicago,2020-09-09,Active
C00097,BluePeak Systems 097,Retail,SMB,Denver,2020-02-06,Active
C00098,CedarWorks Industries 098,Technology,Mid-Market,Denver,2020-05-21,Active
C00099,Pioneer Holdings 099,Retail,Mid-Market,Chicago,2024-03-05,At Risk
C00100,Northstar Partners 100,Healthcare,Mid-Market,Chicago,2019-09-23,Active
C00101,Westbridge Industries 101,Manufacturing,Mid-Market,Austin,2021-07-18,Active
C00102,CedarWorks Systems 102,Retail,SMB,Seattle,2024-05-01,Active
C00103,Pioneer Partners 103,Retail,SMB,Dallas,2020-04-28,Active
C00104,Cloudline Systems 104,Retail,Mid-Market,Chicago,2020-01-28,Active
C00105,CedarWorks Industries 105,Financial Services,Enterprise,Austin,2022-06-01,Active
C00106,Evergreen Industries 106,Professional Services,Mid-Market,Chicago,2022-09-09,Active
C00107,BluePeak Group 107,Technology,Enterprise,Boston,2018-09-01,Active
C00108,Ironwood Industries 108,Retail,Enterprise,Austin,2019-06-21,Active
C00109,Northstar Systems 109,Healthcare,Mid-Market,Portland,2021-01-09,Active
C00110,Lumen Industries 110,Retail,Mid-Market,Denver,2020-05-10,Active
C00111,Redwood Group 111,Retail,Enterprise,Boston,2024-02-05,Active
C00112,Westbridge Systems 112,Manufacturing,Enterprise,New York,2019-11-15,Active
C00113,Northstar Holdings 113,Manufacturing,Enterprise,Boston,2018-03-04,Active
C00114,Lumen Industries 114,Technology,Mid-Market,Portland,2019-11-19,Active
C00115,Westbridge Group 115,Manufacturing,SMB,Chicago,2023-08-06,Active
C00116,Northstar Holdings 116,Retail,Mid-Market,Portland,2021-07-02,Active
C00117,BluePeak Industries 117,Professional Services,Enterprise,Denver,2022-09-18,Active
C00118,Lumen Group 118,Technology,SMB,Phoenix,2024-04-11,Active
C00119,Evergreen Holdings 119,Retail,Mid-Market,San Diego,2019-09-21,Active
C00120,Lumen Partners 120,Manufacturing,Enterprise,Dallas,2023-03-07,Active
C00121,HarborPoint Holdings 121,Professional Services,Mid-Market,New York,2024-04-03,Active
C00122,Lumen Systems 122,Technology,SMB,Denver,2021-08-23,Active
C00123,Redwood Group 123,Financial Services,SMB,Portland,2021-01-29,Active
C00124,Evergreen Systems 124,Professional Services,Mid-Market,San Diego,2018-04-02,Active
C00125,Northstar Industries 125,Manufacturing,Mid-Market,Denver,2023-08-30,Active
C00126,Lumen Industries 126,Financial Services,Enterprise,Denver,2018-05-01,Active
C00127,Lumen Group 127,Retail,Mid-Market,Austin,2023-09-08,Churned
C00128,Summit Holdings 128,Retail,Mid-Market,Austin,2019-12-14,Active
C00129,Redwood Industries 129,Manufacturing,Enterprise,San Diego,2021-07-30,Active
C00130,HarborPoint Group 130,Technology,Mid-Market,Seattle,2021-10-04,Active
C00131,Northstar Systems 131,Professional Services,Enterprise,Chicago,2022-12-29,Active
C00132,Northstar Holdings 132,Technology,Mid-Market,Chicago,2022-12-17,Active
C00133,Pioneer Systems 133,Professional Services,SMB,San Diego,2018-06-04,Churned
C00134,Summit Group 134,Professional Services,Mid-Market,Seattle,2021-03-14,At Risk
C00135,CedarWorks Industries 135,Technology,Enterprise,New York,2023-12-30,Active
C00136,Cloudline Systems 136,Healthcare,SMB,Denver,2024-08-31,Active
