product_id,product_name,category,unit_price_usd,product_status
P0001,Metric Plus,Analytics,4300.00,Active
P0002,Canvas Pro,Collaboration,12930.00,Active
P0003,Vault Enterprise,Security,14640.00,Active
P0004,Scale Core,Infrastructure,16440.00,Active
P0005,Metric Plus,Analytics,3300.00,Active
P0006,Workspace Pro,Collaboration,570.00,Active
P0007,Sentinel Enterprise,Security,4920.00,Active
P0008,Storage Core,Infrastructure,5830.00,Active
P0009,Signal Plus,Analytics,5290.00,Active
P0010,Circle Pro,Collaboration,3500.00,Active
P0011,Sentinel Enterprise,Security,6240.00,Active
P0012,Compute Core,Infrastructure,6280.00,Active
P0013,Signal Plus,Analytics,9840.00,Active
P0014,Circle Pro,Collaboration,14460.00,Active
P0015,Guard Enterprise,Security,8020.00,Active
P0016,Compute Core,Infrastructure,8740.00,Active
P0017,Pulse Plus,Analytics,3480.00,Active
P0018,Workspace Pro,Collaboration,670.00,Active
P0019,Sentinel Enterprise,Security,7370.00,Active
P0020,Scale Core,Infrastructure,5780.00,Active
P0021,Metric Plus,Analytics,17850.00,Active
P0022,Workspace Pro,Collaboration,8500.00,Active
P0023,Sentinel Enterprise,Security,12130.00,Active
P0024,Scale Core,Infrastructure,11180.00,Active
P0025,Forecast Plus,Analytics,13240.00,Active
P0026,Relay Pro,Collaboration,13420.00,Active
P0027,Vault Enterprise,Security,4890.00,Active
P0028,Scale Core,Infrastructure,9080.00,Active
P0029,Insight Plus,Analytics,8380.00,Active
P0030,Canvas Pro,Collaboration,340.00,Active
P0031,Trust Enterprise,Security,3650.00,Retired
P0032,Network Core,Infrastructure,330.00,Active
P0033,Signal Plus,Analytics,800.00,Active
P0034,Relay Pro,Collaboration,10570.00,Active
P0035,Shield Enterprise,Security,14850.00,Active
P0036,Deploy Core,Infrastructure,10120.00,Active
P0037,Insight Plus,Analytics,6650.00,Active
P0038,Relay Pro,Collaboration,11890.00,Active
P0039,Shield Enterprise,Security,3060.00,Active
P0040,Compute Core,Infrastructure,17530.00,Active
P0041,Pulse Plus,Analytics,12490.00,Active
P0042,Connect Pro,Collaboration,2830.00,Active
P0043,Vault Enterprise,Security,9450.00,Active
P0044,Deploy Core,Infrastructure,13780.00,Active
P0045,Signal Plus,Analytics,14880.00,Active
P0046,Relay Pro,Collaboration,7120.00,Retired
P0047,Vault Enterprise,Security,2190.00,Active
P0048,Scale Core,Infrastructure,12050.00,Active
P0049,Pulse Plus,Analytics,16150.00,Active
P0050,Canvas Pro,Collaboration,14600.00,Active
P0051,Guard Enterprise,Security,12120.00,Active
P0052,Network Core,Infrastructure,13500.00,Active
P0053,Metric Plus,Analytics,16730.00,Active
P0054,Circle Pro,Collaboration,10100.00,Active
P0055,Shield Enterprise,Security,16840.00,Active
P0056,Network Core,Infrastructure,10190.00,Active
P0057,Forecast Plus,Analytics,5170.00,Active
P0058,Circle Pro,Collaboration,1830.00,Active
P0059,Shield Enterprise,Security,14710.00,Active
P0060,Deploy Core,Infrastructure,8800.00,Active
P0061,Forecast Plus,Analytics,9420.00,Active
P0062,Canvas Pro,Collaboration,8730.00,Active
P0063,Vault Enterprise,Security,3720.00,Active
P0064,Deploy Core,Infrastructure,8250.00,Active
P0065,Pulse Plus,Analytics,10680.00,Active
P0066,Relay Pro,Collaboration,11920.00,Active
P0067,Guard Enterprise,Security,16160.00,Active
P0068,Scale Core,Infrastructure,2100.00,Active
P0069,Signal Plus,Analytics,12320.00,Active
P0070,Workspace Pro,Collaboration,13990.00,Active
P0071,Shield Enterprise,Security,16680.00,Active
P0072,Deploy Core,Infrastructure,6730.00,Active
P0073,Forecast Plus,Analytics,1430.00,Active
P0074,Relay Pro,Collaboration,10020.00,Active
P0075,Guard Enterprise,Security,14230.00,Active
P0076,Scale Core,Infrastructure,8140.00,Active
P0077,Forecast Plus,Analytics,14410.00,Active
P0078,Workspace Pro,Collaboration,7660.00,Retired
P0079,Shield Enterprise,Security,15570.00,Active
P0080,Storage Core,Infrastructure,5590.00,Active
